linea,estacion,ct_actual,takt,ct_meta,ahorro_seg
NORTHFACE,Est 1 Fab Sub,2065,2821,2065.0,0
NORTHFACE,Est 2 Fab Caja,1685,2821,1685.0,0
NORTHFACE,Est 3 Fab Tapa,2978,2821,2821.0,157.0
NORTHFACE,Est 4 Sub H,2047,2821,1821.0,226.0
NORTHFACE,Est 5 Sub H Tapa,876,2821,876.0,0
NORTHFACE,Est 6 Ensamble,4923,2821,2821.0,2102.0
NORTHFACE,Est 7 Integración,2595,2821,1821.0,774.0
SANMINA,Est 1 Cables,29.0,2217,,
SANMINA,Est 2 Tapa,494.0,2217,,
SANMINA,Est 3 Base,50.0,2217,,
SANMINA,Est 4 Gaskets,300.0,2217,,
SANMINA,Est 5 Gskt Tapa,84.0,2217,,
SANMINA,Est 6 Ruteo,1410.0,2217,,
SANMINA,Est 7 Empaque,150.0,2217,,
