workstation,rack_id,cart_id,tipo_bin,num_partes,numero_parte,proceso,peso,operador,estacion_nf
WS#1,Rack 1,C1-B1-PB1,BIN 1,5 PNs,"MTL-02321, GSKT-00352, GSKT-00353, MTL-02217, MTL-02216",LSR-BRK,Ligero,Op 1,Est 1+9
WS#1,Rack 2,C4-B2-PB4,BIN 2,3 PNs,"ASY-05258, ASY-05257, ASY-05299",TURR-BRK-PEM,Medio,Op 1,Est 1+9
WS#1,Rack 3,C5-B2-PB5,BIN 2,1 PN,ASY-05258-01,PEM,Medio,Op 1,Est 1
WS#1,Rack 4,C6-B2-PB6,BIN 2,1 PN,ASY-05257-01,PEM,Medio,Op 1,Est 1
WS#2,Rack 5,C2-B1-PB2,BIN 1,4 PNs,"MTL-02324, MTL-02214, H FAS-00525 (×6)",TURR-BRK,Ligero,Op 1,Est 2+6+11
WS#2,Rack 6,C7-B2-PB7,BIN 2,1 PN,ASY-05277-02,TURR-BRK-PEM,Medio,Op 1,Est 5
WS#3,Rack 7,C8-B1-PB8,BIN 1,5 PNs,"MTL-02215, MECH-02707, MECH-02688, MECH-02687, ASY-03668, LBL-00829",BUY/BRK,Ligero,Op 2,Est 3+12-16+22
WS#3,Rack 8,C9-B2-PB9,BIN 2,2 PNs,"MTL-02352, ASY-04181",TURR-BRK,Medio,Op 2,Est 3+17+19
WS#3,Rack 9,C10-B2-PB10,BIN 2,1 PN,ASY-03157-02,TURR-BRK-PEM,Grande,Op 2,Est 3+21
WS#4,Rack 10,C-14-B1-PB14,BIN 1,1 PN,MTL-02254-02 (×2),TURR-BRK,Ligero,Op 2,Est 4+46+47
WS#5,Rack 11,C15-B1-PB15,BIN 1,6 PNs,"MTL-02239, ASY-03145, MTL-02434, ASY-03135, MTL-03697, ASY-04776",BRK/OSP,Ligero,Op 3,Est 5+23+26+29+32+35+37
WS#5,Rack 12,C16-B1-PB16,BIN 1,4 PNs,"MTL-02738, ASY-04776, MECH-01754(×18), CBL-00408, MECH-02689",BUY,Ligero,Op 3,Est 5+35-41
WS#5,Rack 13,C17-B2-PB17,BIN 2,2 PNs,"MTL-02237-04, MTL-02236-04",TURR-BRK,Medio,Op 3,Est 5+24+26
WS#5,Rack 14,C19-B2-PB19,BIN 2,1 PN,MTL-02220-03,TURR-BRK,Grande,Op 3,Est 5+31
WS#5,Rack 15,C20-B2-PB20,BIN 2,1 PN,ASY-03139-03,TURR-BRK-PEM,Grande,Op 3,Est 5+33
WS#6,Rack 16,C18-B2-PB18,BIN 2,1 PN,B ASY-05269-03 (FRAME),BUY,Grande,Op 3,Est 6+25
WS#7,Rack 17,C21-B1-PB21,BIN 1,2 PNs,"MTL-02226-02, GSKT-00349",LSR-BRK,Ligero,Op 3,Est 7+51+53
WS#7,Rack 18,C22-B2-PB22,BIN 2,2 PNs,"ASY-05272-01, MTL-03975-01",TURR-PEM,Medio,Op 3,Est 7+51+52
WS#8,Rack 19,C23-B1-PB23,BIN 1,1 PN,MECH-01200-02,BUY,Ligero,Op 4,Est 8+44
WS#8,Rack 20,C24-B2-PB24,BIN 2,1 PN,ASY-03152-06,TURR-BRK-PEM,Grande,Op 4,Est 8+45
WS#8,Rack 21,C25-B2-PB25,BIN 2,1 PN,ASY-04756-04,TURR-BRK-PEM,Grande,Op 4,Est 8+55
WS#8,Rack 22,C26-B2-PB26,BIN 2,2 PNs,"ASY-03156-03, ASY-03136-03",TURR-BRK-PEM,Grande,Op 4,Est 8+56+57
WS#8,Rack 23,C27-B2-PB27,BIN 2,1 PN,ASY-03137-03,TURR-BRK-PEM,Grande,Op 4,Est 8+58
WS#9,Rack 24,C28-B1-PB28,BIN 1,3 PNs,"MTL-02218-01, MECH-01754(×8), MECH-01253-01",TURR-BUY,Ligero,Op 5,Est 9+60-62
WS#9,Rack 25,C29-B2-PB29,BIN 2,1 PN,ASY-03153-05,TURR-BRK-PEM,Grande,Op 5,Est 9+63
KANTISHNA — Distribución por Etapas de Ensamble,,,,,,,,,
Etapa,Nombre Ensamble,PN Principal,# Componentes,PNs clave,Operador sugerido,Tipo bin,Notas,,
Etapa 1,Subensambles H,ASY-05601-06,19+,"ASY-05599-01, MTL-02434-01, MTL-02237-04, ASY-05384-02, ASY-05600-03",Op 1,BIN 1+2,Fabricación de paneles laterales y sub-chasis,,
Etapa 2,Fabricards,ASY-05664-06,15+,"ASY-05616-02, ASY-05620-02, ASY-05622-04, ASY-05395-02, ASY-05621-04",Op 2,BIN 2,Sub-ensamble de tarjetas y brackets,,
Etapa 3,Unión,ASY-05380-07,12+,"MECH-02789-01, MECH-01196-03, ASY-05396-04, MTL-04172-01, ASY-05397-03",Op 1,BIN 1+2,Integración de estructuras,,
Etapa 4,Ensamble PSU,ASY-05497-05,16+,"ASY-05493-04, ASY-07009-01, MTL-04178-02, ASY-05453-02, MTL-04180-03",Op 3,BIN 2,Instalación fuente de poder,,
Etapa 5,Fabricards sub-PSU-1,ASY-05493-04,4+,"MTL-04178-02, MTL-04180-03, MTL-04181-01, MECH-01977-02",Op 3,BIN 1,Sub-ensamble PSU inferior,,
Etapa 6,Integración final,ASY-05672-10,25+,"ASY-05669-02, A LBL-01412-02, ASY-05480-04, MTL-03966-01, H FAS-00958",Op 4,BIN 1+2,Ensamble completo + etiquetas,,
