source_file,sheet_name,model,operator_no,station_no,cart,bin_location,step_no,component_part,quantity,process_route,width,depth,height,volume,storage,bin_model,bin_capacity,batch_size,days_of_stock,required_bins,assembled_using,tool_used
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C1-B1-PB1-WS#1,,1,MTL-02321-01;A0,1.0,LSR - BRK,17.0,0.6,0.8,8.16,Bin,1,205.0,100.0,4.0,0.4878048780487805,Place in fixture,Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C5-B2-PB5-WS#1,,2,ASY-05258-01;A0,1.0,TURR - BRK - PEM,21.0,18.6,0.7,273.42,Bin,2,40.0,80.0,3.2,2.0,SK41H x6,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C1-B1-PB1-WS#1,,3,GSKT-00352,1.0,BUY,10.0,0.5,0.5,2.5,Bin,1,668.0,100.0,4.0,0.1497005988023952,"Stick onto
 ASY-05258-01;A0",Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C1-B1-PB1-WS#1,,3,GSKT-00353,1.0,BUY,10.5,0.5,0.5,2.625,Bin,1,637.0,100.0,4.0,0.15698587127158556,"Stick onto
 ASY-05258-01;A0",Manually
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C1-B1-PB1-WS#1,,4,MTL-02217-01;A0,1.0,TURR - BRK,15.7,1.5,1.2,28.259999999999994,Bin,1,60.0,120.0,4.8,2.0,SK41H x14,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C6-B2-PB6-WS#1,,4,ASY-05257-01;A0,1.0,TURR - BRK - PEM,21.0,17.5,1.2,441.0,Bin,2,25.0,50.0,2.0,2.0,"Assembled to 
MTL-02217-01;A0",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,2.0,C7-B2-PB7-WS#2,,5,ASY-05277-02;A0,1.0,TURR - BRK - PEM,22.8,17.2,0.8,313.728,Bin,2,35.0,70.0,2.8,2.0,SK41H x14,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,2.0,C2-B1-PB2-WS#2,,6,MTL-02324-02;A0,1.0,TURR - BRK,16.1,1.2,0.4,7.728000000000001,Bin,1,217.0,100.0,4.0,0.4608294930875576,SK41H x9,Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,2.0,C2-B1-PB2-WS#2,,6,MTL-02214-01;A1,1.0,LSR - BRK - OSP,17.0,1.4,0.4,9.52,Bin,1,176.0,100.0,4.0,0.5681818181818182,"Assembled to
MTL-02324-02;A0",Rivet gun
Material Northface.xlsx,Plan for every part,ASY-03128-24;A0,1.0,1.0,C1-B1-PB1-WS#1,,9,MTL-02216-03;A0,1.0,LSR - BRK,16.9,1.3,0.4,8.788,Bin,1,191.0,100.0,4.0,0.5235602094240838,SK41H x11,Rivet gun
