source_file,sheet_name,station_name,step,rack_location,part_number,units,total_pieces,class_code,tooling,notes
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,Paso 1 - 6,8,MTL-02321-01;A0,1.0,20.0,,,4. AL FINALIZAR EL TURNO DEBERA HACER CHECK LIST
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,1,ASY-05258-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,Kitteo (vasos),H FAS-01003,6.0,120.0,,2,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,13,GSKT-00352,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,13,GSKT-00353,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,7,MTL-02217-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,2,ASY-05257-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,Kitteo (vasos),H FAS-01003,14.0,280.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,9,ASY-03668 01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,4,MTL-02352-04;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,Paso 48- 49,,,,,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,10,MTL-02254-02;A0,2.0,40.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,12,ASY-03278-05;A0,2.0,40.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,Kitteo (Vasos),SK42H,8.0,160.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,3,ASY-03143-06;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,Kitteo (Vasos),H FAS-01003.,20.0,400.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,Paso 53-55,,,,,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,11,MTL-02226-02;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,6,ASY-05272-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,6,H FAS-01003,6.0,120.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,0,GSKT-00349,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,,5,MTL-03975-01;A1,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,Est.1 Subensambles 7-24,Rack 3- Estacion 3 - ensamble H,,,,,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,2,MTL-02324-02;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,1,MTL-02214-01;A1,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,Kitteo (Vasos),H FAS-01003,9.0,180.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,Kitteo (Vasos),H FAS-01003,4.0,80.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,11,ASY-05258-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,10,ASY-05257-01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,12,ASY 05277-02;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,Kitteo (Vasos),H FAS-01003,22.0,440.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,13,ASY 05275-01;B0,6.0,120.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,14,MTL-02352-04;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,4,MTL-02216-03;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,15,ASY-05299-02;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,Kitteo (Vasos),H FAS-01003,11.0,220.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,Kitteo (Vasos),SKK3030PT,4.0,80.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,9,FAS-00525,6.0,120.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,5,MECH-02707-01;B0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,7,MECH-02688-02,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,8,MECH 02687-02,5.0,100.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,16,ASY-04181 01;A0,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,17,ASY-03157-02,1.0,20.0,,,
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,Est.2 Rack2-Fabricards,,18,ASY-03278-03,1.0,20.0,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,13,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,14-24,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,25-38,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,39-47,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,48-57,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,58-63,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,64-69,,,,,,,
Northface 1.xlsx,Analisis Ensamble ,Analisis Ensamble ,Final,,,,,,,
