source_file,sheet_name,process_sheet_number,end_item_part,parent_part,work_center,step_number,run_setup,operation_code,component_part,description,standard_rate,lead_time,crew_size
North face - Components matrix 1.xlsx,Assy WC,ASY-03128-24;A0,ASY-03128-24;A0,ASY-53727-127;A0,6AARI,00110,R,801,,ENSAMBLE SEGUN DIBUJO,0.667,0.0,4.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03131-08;C0,ASY-03131-08;C0,ASY-53727-127;A0,6AARI,00100,R,801,,ENSAMBLE SEGUN DIBUJO,1.25,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6N02,00110,R,102,,PUNZONADO EN TORRETA,57.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,250.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,11.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6N045,00110,R,102,,PUNZONADO EN TORRETA,55.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,25.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,44.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,25.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,200.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,62.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM,00200,R,400,,INSERCION DE PEM,23.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,76.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,40.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,20.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6N04,00110,R,102,,PUNZONADO EN TORRETA,48.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6DBR,00120,R,200,,REBABEO PARA MANEJO,100.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6BRK,00140,R,302,,DOBLADORA AMADA,25.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6APEM,00160,R,400,,INSERCION DE PEM,120.0,0.0,1.0
North face - Components matrix 1.xlsx,Assy WC,ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6APEM,00180,R,400,,INSERCION DE PEM,30.0,0.0,1.0
