Linea de Northface,,,,,,,,,,,,,,,,,,
Instrucción de Trabajo ASY-03128-24;B0 - ENSAMBLE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pasos,Lugar en el Rack,,Process Route,Imagen,NP Involucrados ,Widht:,Depth:,Height:,in3:,Unidades,Piezas totales por (20 ),Clase ( A/B/C),herramental,,,,,2. SURTIR EL MATERIAL POR ORDEN EN EL RACK REQUERIDO PARA EL REQUERIMIENTO DEL DIA 
Paso 1 - 6,8,M,,,MTL-02321-01;A0,17,0.6,0.8,8.16,1,20,,,,,,,4. AL FINALIZAR EL TURNO DEBERA HACER CHECK LIST 
,1,M,,,ASY-05258-01;A0,21,18.6,0.7,273.42,1,20,,,,,,,
,Kitteo (vasos),,,,H FAS-01003,Kitting,,,,6,120,,2,,,,,
,13,B,,,GSKT-00352,10,0.5,0.5,2.5,1,20,,,,,,,
,13,B,,,GSKT-00353,10.5,0.5,0.5,2.625,1,20,,,,,,,
,7,M,,,MTL-02217-01;A0,15.7,1.5,1.2,28.259999999999994,1,20,,,,,,,
,2,M,,,ASY-05257-01;A0,21,17.5,1.2,441,1,20,,,,,,,
,Kitteo (vasos),,,,H FAS-01003,Kitting,,,,14,280,,,,,,,
,9,M,,,ASY-03668 01;A0,21,18.6,0.7,273.42,1,20,,,,,,,
,4,M,,,MTL-02352-04;A0 ,17,0.6,0.8,8.16,1,20,,,,,,,
Paso 48- 49,,,,,,,,,,,,,,,,,,
,10,M,,,MTL-02254-02;A0,17,0.7,0.8,9.52,2,40,,,,,,,
,12,M,,,ASY-03278-05;A0,21,17.5,1.2,441,2,40,,,,,,,
,Kitteo (Vasos),B,,,SK42H,Kitting,,,,8,160,,,,,,,
,3,M,,,ASY-03143-06;A0,21,18.6,0.7,273.42,1,20,,,,,,,
,Kitteo (Vasos),B,,,H FAS-01003.,Kitting,,,,20,400,,,,,,,
Paso 53-55,,,,,,,,,,,,,,,,,,
,11,,,,MTL-02226-02;A0,17,0.7,0.8,9.52,1,20,,,,,,,
,6,,TURR - PEM - BRK,,ASY-05272-01;A0,18.9,15.3,0.5,144.585,1,20,,,,,,,
,6,,,,H FAS-01003,Kitting,,,,6,120,,,,,,,
,0,,,,GSKT-00349,10.5,0.5,0.5,2.625,1,20,,,,,,,
,5,,,,MTL-03975-01;A1,21,18.6,0.7,273.42,1,20,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Rack 3- Estacion 3 - ensamble H ,,,,,,,,,,,,,,,,,,
