,,,,,,,,
,Rack 2-,Ensamble - Estación 2 fabricards,,,,,,
,Pasos- 7- 24,Lugar en el Rack,Imagen,Numeros de Parte,Unidades,Piezas totales por (20 ),Clase ( A/B/C),
,,2,,MTL-02324-02;A0,1,20,,
,,1,,MTL-02214-01;A1,1,20,,
,,Kitteo (Vasos),,H FAS-01003,9,180,,"Cambiaron remache HSK41H, porque batallan en la remachadora- Desviacion/ Correo??/ evidencia de que se utilice ese remache?"
,,Kitteo (Vasos),,H FAS-01003,4,80,,"Cambiaron remache HSK41H, porque batallan en la remachadora- Desviacion/ Correo??/ evidencia de que se utilice ese remache?"
,,11,,ASY-05258-01;A0,1,20,,
,,10,,ASY-05257-01;A0,1,20,,
,,12,,ASY 05277-02;A0,1,20,,
,,Kitteo (Vasos),,H FAS-01003,22,440,,"Cambiaron remache HSK41H, porque batallan en la remachadora- Desviacion/ Correo??/ evidencia de que se utilice ese remache?"
,,13,,ASY 05275-01;B0,6,120,,
,,14,,MTL-02352-04;A0,1,20,,
,,4,,MTL-02216-03;A0,1,20,,
,,15,,ASY-05299-02;A0,1,20,,
,,Kitteo (Vasos),,H FAS-01003,11,220,,
,,Kitteo (Vasos),,SKK3030PT,4,80,,
,,9,,FAS-00525,6,120,,
,,5,,MECH-02707-01;B0,1,20,,
,,7,,MECH-02688-02,1,20,,
,,8,,MECH 02687-02,5,100,,
,,16,,ASY-04181 01;A0,1,20,,
,,17,,ASY-03157-02,1,20,,
,,18,,ASY-03278-03,1,20,,
