,,,,,,,,,,,
,Primera Corrida.,,,,,,,,,,
,Estación,Cantidad Req.,Material,Herramental ,Actividad,Tiempo seg,Operador ,Obersavcion ,Accion,Resultado,
,1- Cables ,"ASY-20061-02;A0 -800pz
ASY-20062-02;A0 - 400 pz","ASY-20062-02;A0
ASY-20061-02;A0 
ASY-20038-02;A0
H FAS- 01436","Llaves allen 
llaves hexagonales 
Fixture 
Torque 68 In/lbs. (+/- 7 In/lbs).
Punta: Hex 5/32","Operador 1- Al ensamble a ASY-20038-02;A0 se le agrega el cable (A CBL-00902-01)  2 tornillos ( H FAS
01358.)  para los numeros de parte  ASY-20062-02;A0/ ASY-20061-02;A0 
Operador 2- Instala y aprieta los tornillos en el fixture para numero de parte 20061 y empaca en caja para la sig estacion
Operador 3- Instala y aprieta los tornillos en el fixture para numero de parte 20062 y empaca en caja para la sig estacion",86,3,"Se mueve la cajita al momento de instalar la pieza  ASY-20038-02;A0, y añadir las tuercas  H FAS
01436 complica al momento de retirar del fixture, quita un poco de tiempo,
el torque que se utiliza no es el adecuado.",Se utiliza Fixture SG-2973.,,04:25:00
,2- Tapa/ Etiquetas ,ASY-09039-05; A0- 100 pz,"H FAS-00458
H MECH-05450-01 
ASY-09039-05;A","Desarmador Estrella 
Torque 6LB","Se aplican tornillos (H FAS-00458) y 29 brackets ( H MECH-05450-01 ) al ensamble ASY-09037-05;A0, se agregan etiquetas en brackets ",494,1,"Se batalla un poco en instalar el tornillo, el bracket y la pieza que sostiene los brackets ","Se dividio en 2 la estacion, una operadora acomoda las piezas y la otra operadora aprieta los tornillos  al final para apretar los brackets",,
,3- Base/ etiquetas,"
ASY-20063-05;B0  - 100 pz",ASY-09037-05;A0,,Se aplican tornillos y brackets en la tapa ASY-09039-05;A0,50,1,"Retraso por rechazo de material, debido a marcas de material,
Perdida de tiempo ",,,
,4- Gaskets,,,,,900,,Se puede mejorar el tiempo a 9min x pieza,,,
,5- Ruteo de Cables y  final ,"
ASY-20063-05;B0 - 100 pz","(4) ASY-20062-02;A0 (A CBL-00902-01) 
(8)  ASY-20061-02;A00 
ASY-09037-05;A0
ASY-09039-05;A0",,,2820,1,"Se corregira instrucción de trabajo para identificar los cables.
Retraso por falta de material 
","Se corrigio la instrucción de trabajo, ",,
,6- Empaque,,,,,4350,seg p/p,,,,
,,,,,,01:12:00,por pieza,,,,
,Tiempo Total del turno,,,,,,,,,,
,12 horas,720,min,,,,,,,,
,Descansos:,30,min,,,,,,,,
,Break ,10,min,,,,,,,,
,Break ,15,min,,,,,,,,
,Tiempo no productivo,55,,,,,,,,,
,Tiempo disponible real ,665,,,,,,,,,
,,39900,seg,,,,,,,,
,Takt Time ,2216.6666666666665,seg/pieza,,,,,,,,
