1. Producción (Output),,
Línea esta cumpliendo?,,
Plan vs Real ,,
Piezas por hora },,
Producción acumulada ,,
Gap vs Objetivo ,,
Takt Time ,,
Cycle Time (CT),,
Eficiencia % ,,
,,
Indicador ,Valor,
Meta Diaria ,20,pz
Producción Actual ,6,pz
Diferencia ,14,pz
Takt Time ,36.94444444444444,min
CT promedio ,1.7705555555555557,
,,
2. Estado Por Estaciones,,
Para detectar cuellos de botella,,
,,
Estación ,CT,Status
1- Cables ,1.4333333333333333,Normal
2- Tapa/ Etiquetas  / Gaskets tapa,8.233333333333333,Normal
3- Base/ etiquetas Gaskets base,45,Cuello de Botella
4- Ruteo de Cables y  final ,47,Cuello de Botella
5- Empaque,6,Normal
,,
3. Calidad ,,
Muy importante para la línea ,,
,,
Indicadores ,,
FPY (First Pass Yield),,
Defectos por estación ,,
Rayones,,
Remache incorrecto ,,
Gasket mal instalado ,,
Retrabajos,,
,,
Gráficos Recomendados ,,
Pareto de defectos,,
Tendencia diaria,,
Heat map por estación,,
,,
4. Material/Kitting/Kanban ,,
Evitar exceso de material y vasos de kiteo ,,
,,
Indicadores,,
Material faltante ,,
Nivel Min/ Max,,
Rack lleno/Vacío ,,
Kanban Status,,
Remaches disponibles ,,
Material Crítico ,,
,,
Visual ,,
Semáforo,,
Verde=,Suficiente,
Amarillo,bajo,
Rojo,Surtir ,
,,
5.Seguridad y Ergonomía ,,
Muy útil para justificar mejoras,,
,,
Indicadores:,,
Levantamientos manuales,,
Incidentes ,,
Riesgos ergonómicos,,
Tiempo moviendo gabinetes,,
uso de ayudas mecanicas,,
Contador de movimientos pesados ,,
Tiempo perdido por gabinete en test,,
tiemopo perdido por retrabajo ,,
,,
6. Tiempo muerto/ Downtime,,
Pérdidas Reales,,
,,
Categorías,,
Espera de material ,,
Espera de Calidad,,
Fixture Dañado ,,
Falta de operador,,
Problema de Torque,,
Equipo caído ,,
,,
Gráfico ,,
Pareto de downtime,,
,,
7. Seguimiento de Operadores,,
Balanceo de Línea,,
,,
Operador,,
Estación ,,
Eficiencia ,,
Producción ,,
Tiempo de Ciclo ,,
Capacitación ,,
,,
8. Alertas en tiempo Real ,,
"Esto nhace que el dashboard sea ""vivo""",,
,,
CT excedido ,,
Material Crítico ,,
Test Detenido ,,
Acumulación de gabinetes,,
tiemopo de reivision por calidad,,
Defecto repetitivo ,,
