Process Sheet Number,EndItemPartNumber,Parent:,Work Center/Vendor,Description 1,Description 2,Step Number,Run/Setup,Operation Code,Component Part Number,Description 11,Description 21,Standard Rate,Lead Time,Crew Size,Overlap Step Number,Overlap Quantity
ASY-03128-24;A0,ASY-03128-24;A0,ASY-53727-127;A0,6AARI,JCG 20 08 24,,00110,R,801  ,,ENSAMBLE SEGUN DIBUJO,,0.667,0,4,,0
ASY-03131-08;C0,ASY-03131-08;C0,ASY-53727-127;A0,6AARI ,JCG 05 28 20,,00100,R,801  ,,ENSAMBLE SEGUN DIBUJO,,1.25,0,1,,0
ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6N02  ,KSS 05 14 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,57,0,1,,0
ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6DBR ,KSS 05 14 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6BRK ,KSS 05 14 19,,00140,R,302  ,,DOBLADORA AMADA,,250,0,1,,0
ASY-03135-03;A0,ASY-03135-03;A0,ASY-53727-127;A0,6APEM ,KSS 05 14 19,,00160,R,400  ,,INSERCION DE PEM,FEOX-M3(11X),11,0,1,,0
ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6N045 ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,55,0,1,,0
ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,25,0,1,,0
ASY-03136-03;A0,ASY-03136-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,CLS-M3-1 (11X),20,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6N04  ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,44,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,25,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,MECH-05243,200,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00180,R,400  ,,INSERCION DE PEM,CLS-M4-1 (4X),62,0,1,,0
ASY-03137-03;A0,ASY-03137-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00200,R,400  ,,INSERCION DE PEM,CLS-M3-1(11X),23,0,1,,0
ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6N04  ,JCG 10 28 20,,00110,R,102  ,,PUNZONADO EN TORRETA,,76,0,1,,0
ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6DBR  ,JCG 10 28 20,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6BRK  ,JCG 10 28 20,,00140,R,302  ,,DOBLADORA AMADA,,40,0,1,,0
ASY-03138-03;A0,ASY-03138-03;A0,ASY-53727-127;A0,6APEM ,JCG 10 28 20,,00160,R,400  ,,INSERCION DE PEM, CLS-M3-1 (6X),20,0,1,,0
ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6N04  ,KSS 01 23 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,48,0,1,,0
ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6DBR  ,KSS 01 23 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6BRK  ,KSS 01 23 19,,00140,R,302  ,,DOBLADORA AMADA,,25,0,1,,0
ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00160,R,400  ,,INSERCION DE PEM,MECH-05243,120,0,1,,0
ASY-03139-03;A0,ASY-03139-03;A0,ASY-53727-127;A0,6APEM ,KSS 01 23 19,,00180,R,400  ,,INSERCION DE PEM,CLS-M4-1 (4X),30,0,1,,0
ASY-03143-06;A0,ASY-03143-06;A0,ASY-53727-127;A0,6N041 ,JCG 11 09 19,,00110,R,102  ,,PUNZONADO EN TORRETA,,36,0,1,,0
ASY-03143-06;A0,ASY-03143-06;A0,ASY-53727-127;A0,6DBR ,JCG 11 09 19,,00120,R,200  ,,REBABEO PARA MANEJO, SEGURO,100,0,1,,0
