M/B,LEVEL,PARENT,BACKLOG,COMPONENT,STATUS,PROCESO INICIAL,DESCRIPTION1,REQ,U/M,ON HAND,ON ORD,COMM,AVAIL,LEAD TIME,VENDOR NAME,TYPE,PROGRAMA
B,___3,ASY-53727-127;A0,1000,A ASY-03229-07;C0,B,,"ASY,DN8,BUSBAR,MAIN 1",1,EA,366,618,230,754,120,INTERPLEX (SUZHOU) PRECISION,,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A ASY-03230-06;A0,B,,"ASY,DN8,BUSBAR,HORIZON",1,EA,329,647,246,730,120,INTERPLEX (SUZHOU) PRECISION,,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A ASY-03248-06;A0,B,,"ASY,DN8,BUSBAR,HORIZON",1,EA,303,673,246,730,120,INTERPLEX (SUZHOU) PRECISION,,"ARISTA NETWORKS, INC"
B,___3,ASY-53727-127;A0,1000,A ASY-04714-01;A1,B,,"ASY,DNNALI,RACK,BASKET",1,EA,758,1000,264,1494,50,"HUANJOW KNITTING CO., LTD.",,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A CBL-00407-05;D0,,,"CABLE ASY, BUSBAR, VSE",1,EA,467,529,246,750,120,GREAT ASIA TAI TECH CO LTD,,"ARISTA NETWORKS, INC"
B,___3,ASY-53727-127;A0,1000,A CBL-00408-05;B0,B,,"CABLE ASY, BUSBAR, SUP",1,EA,1312,21,404,929,110,GREAT ASIA TAI TECH CO LTD,,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A CBL-00711-01;A0,B,,"POWER CORD, SAF-D GRID",16,EA,9247,17800,10272,16775,70,IDEAL ANDERSON ASIA PACIFIC LT,,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A CT4BK18-C,B,,"WIRE_ZIP_TIE 4""",1,EA,7165.95,1000,4901.65,3264.3,55,D B ROBERTS COMPANY,,"ARISTA NETWORKS, INC"
B,___3,ASY-53727-127;A0,1000,A GSKT-00349,B,,"GASKET,EMI,FOF,D-SHAPE",2,EA,1705,0,1539,166,25,SCHLEGEL ELECTRONIC MATERIALS,,"ARISTA NETWORKS, INC"
B,___3,ASY-53727-127;A0,1000,A GSKT-00352,B,,"GASKET,EMI,FOF,D-SHAPE",1,EA,1773,0,464,1309,25,SCHLEGEL ELECTRONIC MATERIALS,,"ARISTA NETWORKS, INC"
B,___3,ASY-53727-127;A0,1000,A GSKT-00353,B,,"GASKET,EMI,FOF,D-SHAPE",1,EA,430,1000,230,1200,79,SCHLEGEL ELECTRONIC MATERIALS,,"ARISTA NETWORKS, INC"
B,__2,ASY-53727-127;A0,1000,A LBL-00112,B,,1.000 IN W X 0.25 IN H,3,EA,5464,0,1827,3637,15,BRADLEY NAMEPLATE CORPORATION,,"ARISTA NETWORKS, INC"
