,Carts for operator 1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Blue bin for make items
,Bin compartment:,,C1-B1-PB1-WS#1,,C2-B1-PB2-WS#2,,C3-B2-PB3-WS#1,,C4-B2-PB4-WS#1,,C5-B2-PB5-WS#1,,C6-B2-PB6-WS#1,,C7-B2-PB7-WS#2,,,,,Yellow bin for buy items
,1,,MTL-02321-01;A0,,MTL-02324-02;A0,,MTL-03976-01;B0,*,ASY-05299-02;A0,,ASY-05258-01;A0,,ASY-05257-01;A0,,ASY-05277-02;A0,,,,,
,2,,GSKT-00352,,MTL-02214-01;A1,,MTL-03976-01;B0,*,MTL-03977-01;A0,,ASY-05258-01;A0,,ASY-05257-01;A0,,ASY-05277-02;A0,,,,,
,3,,GSKT-00353,,H FAS-00525,,,,,,,,,,,,,,,
,4,,MTL-02217-01;A0,,,,,,,,,,,,,,,,,
,5,,MTL-02216-03;A0,,,,,,,,,,,,,,,,,
,6,,B MTL-03978-01;C0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C8-B1-PB8,,C9-B2-PB9,,C10-B2-PB10,,C11-B2-PB11,,C12-B2-PB12,,C-13-B1-PB13,,C-14-B1-PB14,,,,,
,1,,MTL-02215-02;A1,*,MTL-02352-04;A0,,ASY-03157-02;A0,,MTL-02356-04;B0,,MTL-02362-04;B0,,MTL-02357-02;A0,*,MTL-02254-02;A1,,,,,
,2,,MECH-02707-01;B0,*,ASY-04181-02;A0,,ASY-03157-02;A0,,MTL-02356-04;B0,,H MECH-02436-01,,MTL-02358-03;A3,*,ASY-03143-06;A0,,,,,
,3,,A MECH-02688-02,,,,,,,,,,"H FAS-00797
(SPRING)",,,,,,,
,4,,A MECH-02687-02,,,,,,,,,,MTL-02360-06;A0,,,,,,,
,5,,ASY-03668-01;A0,,,,,,,,,,MTL-02363-03;A0,,,,,,,
,6,,A LBL-00829-03;B0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C15-B1-PB15,,C16-B1-PB16,,C17-B2-PB17,,C18-B2-PB18,,C19-B2-PB19,,C20-B2-PB20,,C21-B1-PB21,,C22-B2-PB22,,,
,1,,MTL-02239-01;A0,,MTL-02738-01;A0,*,MTL-02237-04;A0,,"B ASY-05269-03;B0
(FRAME)",,MTL-02220-03;A0,,ASY-03139-03;A0,,MTL-02226-02;A0,*,ASY-05272-01;A0,,,
,2,,ASY-03145-02;A0,,A GSKT-00349,*,MTL-02236-04;A0,,"B ASY-05269-03;B0
(FRAME)",,MTL-02220-03;A0,,ASY-03139-03;A0,,A GSKT-00349,*,MTL-03975-01;A1,,,
,3,,MTL-02434-01;A0,,ASY-04776-01;B0,,,,,,,,,,,,,,,
,4,,ASY-03135-03;A0,,A MECH-01754-04,,,,,,,,,,,,,,,
,5,,MTL-02212-01;A0,,A CBL-00408-05;B0,,,,,,,,,,,,,,,
,6,,MTL-03697-01;A0,,A MECH-02689-01;B,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 4,,,,,,,,,,,,Carts for operator 5,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C23-B1-PB23,,C24-B2-PB24,,C25-B2-PB25,,C26-B2-PB26,,C27-B2-PB27,,C28-B1-PB28,,C29-B2-PB29,,C30-B2-PB30,,,
,1,,A MECH-01200-02,,ASY-03152-06;A0,,ASY-04756-04;A0,*,ASY-03156-03;A0,,ASY-03137-03;A0,,MTL-02218-01;B0,,ASY-03153-05;A0,,ASY-04757-04;A0,,,
,2,,,,ASY-03152-06;A0,,ASY-04756-04;A0,*,ASY-03136-03;A0,,ASY-03137-03;A0,,A MECH-01754-04,,ASY-03153-05;A0,,ASY-04757-04;A0,,,
,3,,,,,,,,,,,,A MECH-01253-01,,,,,,,
,4,,,,,,,,,,,,MTL-02322-03;B0,,,,,,,
,5,,,,,,,,,,,,A MECH-01754-04,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C31-B2-PB31,,C32-B2-PB32,,C33-B2-PB33,,C34-B2-PB34,,C35-B1-PB35,,,,,,,,,
,1,*,ASY-03185-02;A0,,ASY-03184-05;A0,*,MTL-02258-06;A0,,ASY-03187-07;A0,,MTL-02368-02;A0,,,,,,,,,
,2,*,ASY-04183-01;A0,,ASY-03184-05;A0,*,ASY-03189-05;A0,,ASY-03187-07;A0,,MTL-03292-01;A0,,,,,,,,,
,3,,,,,,,,,,B MTL-03296-02;B0,,,,,,,,,
,4,,,,,,,,,,MTL-03292-01;A0,,,,,,,,,
,5,,,,,,,,,,MTL-02844-02;A0,,,,,,,,,
,6,,,,,,,,,,A MECH-01645-02A0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C36-B1-PB36,,C37-B1-PB37,,C38-B2-PB38,,C39-B1-PB39,,C40-B2-PB40,,C41-B1-PB41,,C42-B1-PB42,,,,,
,1,,A PCA-01083-05;A0,,ASY-03183-03;A0,,ASY-03138-03;A0,,A CBL-00407-05;D0,*,ASY-04184-02;A0,,A LBL-00990-02;A1,,A LBL-01010-01,,,,,
,2,,A PCA-01084-02;A0,,MTL-05286-01;A0,,,,A CT4BK18-C,*,ASY-03158-05;A0,,A LBL-00991-03;A0,,A LBL-01322-01;A0,,,,,
,3,,A PCA-01086-03;A0,,A MECH-01253-01,,,,A MECH-01540-06A0,,,,A LBL-00992-04;A0,,A LBL-01363-01;A0,,,,,
,4,,A LBL-00849-02,,ASY-03333-04;A0,,,,A MECH-01566-05A0,,,,A LBL-00961-02;A1,,A LBL-01364-01;A0,,,,,
,5,,A PCA-01305-03,,A LBL-00890-02,,,,A MECH-01563-05A0,,,,A LBL-00918-07;A1,,A LBL-01002-02;A0,,,,,
,6,,A MECH-03518-01,,ASY-03327-02;A0,,,,A MECH-01567-05A0,,,,A LBL-00960-02;A0,,A LBL-01268-01;B0,,,,,
