Process Sheet Number,Quantity:,Parent:,Description:,Dias disponibles:,Horas disponibles:,Demanda mensual:,Product rate x hour:,Optimum rate:,Work Center/Vendor,Step Number,Run/Setup,Description 11,Standard Rate,Std rate div by 1,Crew Size,Desired hc:
ASY-03278-05;A0,2,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.6428571428571429,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,8,8,1,0.08035714285714286
ASY-04138-02;A0,4,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,1.2857142857142858,6ASAN ,00100,R,ENSAMBLE SEGUN DIBUJO,120,120,1,0.010714285714285714
ASY-04511-04;A0,2,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.6428571428571429,6AARI ,00110,R,ENSAMBLE,14,14,1,0.04591836734693878
ASY-04513-03;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,4,4,1,0.08035714285714286
ASY-04524-07;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,0.23,0.0575,4,5.590062111801243
ASY-04527-05;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6ASB ,00110,R,ENSAMBLE SEGUN DIBUJO,7.75,3.875,2,0.08294930875576037
ASY-04538-02;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,35,35,1,0.009183673469387756
ASY-04547-04;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00110,R,Ensamble,5.87,5.87,1,0.05475784862496958
ASY-04555-05;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,0.65,0.21666666666666667,3,1.4835164835164836
ASY-04556-03;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6ASB  ,00170,R,ENSAMBLE SEGUN DIBUJO,60,60,1,0.005357142857142857
ASY-04559-03;A0,21,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,6.750000000000001,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,15,3.75,4,1.8000000000000003
ASY-04567-04;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6ASB  ,00150,R,ENSAMBLE SEGUN DIBUJO,75,75,1,0.004285714285714286
ASY-04572-05;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,1.75,1.75,1,0.1836734693877551
ASY-04574-02;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00100,R,ENSAMBLE SEGUN DIBUJO,58,58,1,0.005541871921182266
ASY-04576-05;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,1.5,0.75,2,0.4285714285714286
ASY-04577-10;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI,00110,R,ENSAMBLE SEGUN DIBUJO,0.475,0.2375,2,1.3533834586466167
ASY-04577-10;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI,00400,R,PRUEBA EN EL CUARTO,0.28,0.14,2,2.2959183673469385
ASY-04587-02;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00100,R,ENSAMBLE SEGUN DIBUJO,58,58,1,0.005541871921182266
ASY-04780-05;B0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00120,R,ENSAMBLE SEGUN DIBUJO,37.5,37.5,1,0.008571428571428572
ASY-05275-01;A0,6,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,1.9285714285714288,6AARI ,00110,R,ENSAMBLE SEGUN DIBUJO,10,10,1,0.1928571428571429
ASY-05341-02;A0,1,ASY-54577-110;A0,Skyline,16,21,108,0.32142857142857145,0.32142857142857145,6AARI ,00110,R,Ensamble,14.25,14.25,1,0.02255639097744361
