M/B,LEVEL,PARENT,BACKLOG,COMPONENT,STATUS,PROCESO INICIAL,DESCRIPTION1,REQ,U/M,ON HAND,ON ORD,COMM,AVAIL,LEAD TIME,VENDOR NAME,TYPE,PROGRAMA
B,__2,ASY-54577-110;A0,864,A LBL-00112,B,,1.000 IN W X 0.25 IN H,3,EA,5464,0,1827,3637,15,BRADLEY NAMEPLATE CORPORATION,,"ARISTA NETWORKS, INC"
B,____4,ASY-54577-110;A0,864,H MECH-05243,B,,11RU ESD JACK PENCOM P,1.1,EA,3984,1500,372.8,5111.2,70,PENCOM-SO CA,,"ARISTA NETWORKS, INC"
B,_____5,ASY-54577-110;A0,864,H MECH-05243,B,,11RU ESD JACK PENCOM P,1.1,EA,3984,1500,372.8,5111.2,70,PENCOM-SO CA,,"ARISTA NETWORKS, INC"
B,____4,ASY-54577-110;A0,864,H MECH-05243,B,,11RU ESD JACK PENCOM P,1.1,EA,3984,1500,372.8,5111.2,70,PENCOM-SO CA,,"ARISTA NETWORKS, INC"
B,__2,ASY-54577-110;A0,864,H SC7134,B,,3MM X 8 SEMS SCREW SQU,40.7,EA,7775.3,28000,11566.35,24208.95,90,PENCOM-SO CA,,"ARISTA NETWORKS, INC"
B,____4,ASY-54577-110;A0,864,H TPS-3MM-8,B,,3MM X 8MM SST PINPENN,2.2,EA,364750.74,17100,0,381850.74,55,SW ANDERSON COMPANY,,"ARISTA NETWORKS, INC"
B,____4,ASY-54577-110;A0,864,H TPS-3MM-8,B,,3MM X 8MM SST PINPENN,2.2,EA,364750.74,17100,0,381850.74,55,SW ANDERSON COMPANY,,"ARISTA NETWORKS, INC"
B,___3,ASY-54577-110;A0,864,P S-1898,B,,"4 x 7"" Bolsas con Cier",4,EA,2148,1000,2066,1082,20,(D)ULINE SHIPPING SUPPLIES,,"ARISTA NETWORKS, INC"
B,__2,ASY-54577-110;A0,864,P S-1898,B,,"4 x 7"" Bolsas con Cier",4,EA,2148,1000,2066,1082,20,(D)ULINE SHIPPING SUPPLIES,,"ARISTA NETWORKS, INC"
M,__2,ASY-54577-110;A0,864,ASY-05450-03;A0,S,6AARI,ASY DENALI SKYLINE LT,2,EA,12,216,374,-146,3,,,"ARISTA NETWORKS, INC"
M,__2,ASY-54577-110;A0,864,ASY-05451-03;A0,S,6N04 ,ASY DENALI SKYLINE LT,1,EA,187,100,191,96,1,,,"ARISTA NETWORKS, INC"
M,__2,ASY-54577-110;A0,864,ASY-05464-02;A0,S,6N04 ,ASY DENALI SKYLINE LT,2,EA,58,143,374,-173,1,,,"ARISTA NETWORKS, INC"
M,0,ASY-54577-110;A0,864,ASY-54577-110;A0,S,6AARI,ASY DN16 CHASSIS TOP L,1,EA,19,192,864,-653,3,,,"ARISTA NETWORKS, INC"
M,___3,ASY-54577-110;A0,864,ASY-04527-05;A0,S,6AARI,ASY DN16 COVER LOWER C,1,EA,6,132,180,-42,3,,,"ARISTA NETWORKS, INC"
