,Carts for operator 1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Blue bin for make items
,Bin compartment:,,C1-B1-PB1-WS#1,,C2-B1-PB2-WS#2,,C3-B2-PB3-WS#1,,C4-B2-PB4-WS#1,,C5-B2-PB5-WS#1,,C6-B2-PB6-WS#1,,C7-B2-PB7-WS#2,,,,,Yellow bin for buy items
,1,,,,,,,*,,,,,,,,,,,,
,2,,,,,,MTL-03976-01;B0,*,,,ASY-05258-01;A0,,ASY-05257-01;A0,,ASY-05277-02;A0,,,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C8-B1-PB8,,C9-B2-PB9,,C10-B2-PB10,,C11-B2-PB11,,C12-B2-PB12,,C-13-B1-PB13,,C-14-B1-PB14,,,,,
,1,,,*,,,,,,,,,,*,,,,,,
,2,,,*,,,ASY-03157-02;A0,,MTL-02356-04;B0,,,,,*,,,,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C15-B1-PB15,,C16-B1-PB16,,C17-B2-PB17,,C18-B2-PB18,,C19-B2-PB19,,C20-B2-PB20,,C21-B1-PB21,,C22-B2-PB22,,,
,1,,,,,*,,,,,,,,,,*,,,,
,2,,,,,*,,,"B ASY-05269-03;B0
(FRAME)",,MTL-02220-03;A0,,ASY-03139-03;A0,,,*,,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 4,,,,,,,,,,,,Carts for operator 5,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C23-B1-PB23,,C24-B2-PB24,,C25-B2-PB25,,C26-B2-PB26,,C27-B2-PB27,,C28-B1-PB28,,C29-B2-PB29,,C30-B2-PB30,,,
,1,,,,,,,*,,,,,,,,,,,,
,2,,,,ASY-03152-06;A0,,ASY-04756-04;A0,*,,,ASY-03137-03;A0,,,,ASY-03153-05;A0,,ASY-04757-04;A0,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C31-B2-PB31,,C32-B2-PB32,,C33-B2-PB33,,C34-B2-PB34,,C35-B1-PB35,,,,,,,,,
,1,*,,,,*,,,,,,,,,,,,,,
,2,*,,,ASY-03184-05;A0,*,,,ASY-03187-07;A0,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Carts for operator 8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Bin compartment:,,C36-B1-PB36,,C37-B1-PB37,,C38-B2-PB38,,C39-B1-PB39,,C40-B2-PB40,,C41-B1-PB41,,C42-B1-PB42,,,,,
,1,,,,,,,,,*,,,,,,,,,,
,2,,,,,,,,,*,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,
